Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,ISSN,Favorites,Rating,Physical Location,Status,Status Incompleted Reason,Status Hidden,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Not Owned Reason,Quantity,Condition,Recommended By,Date Added,User Supplied ID,User Supplied Descriptor,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Previously Owned,Up Next,Position,Uploaded Image URL,Activities
"""What Do You Care What Other People Think?"": Further Adventures of a Curious Character",,,,,Richard P. Feynman,"Feynman, Richard P.",,,,,,W. W. Norton & Company,,2011/02/14,2011,,,,Biography & Autobiography,"The New York Times best-selling sequel to ""Surely You’re Joking, Mr. Feynman!"" One of the greatest physicists of the twentieth century, Richard Feynman possessed an unquenchable thirst for adventure and an unparalleled ability to tell the stories of his life. ""What Do You Care What Other People Think?"" is Feynman’s last literary legacy, prepared with his friend and fellow drummer, Ralph Leighton. Among its many tales—some funny, others intensely moving—we meet Feynman’s first wife, Arlene, who taught him of love’s irreducible mystery as she lay dying in a hospital bed while he worked nearby on the atomic bomb at Los Alamos. We are also given a fascinating narrative of the investigation of the space shuttle Challenger’s explosion in 1986, and we relive the moment when Feynman revealed the disaster’s cause by an elegant experiment: dropping a ring of rubber into a glass of cold water and pulling it out, misshapen.",,,,,,,,,,,256,Kindle,,,,,inglés,,,,,,9780393079814,,0,0.000000,,Unread,,,,,,,,,,0,,,,,2021/01/04 09:09:16.780776739,,,,,,,,vbMIlkpQXEkC,,0,,0,,https://s3-us-west-2.amazonaws.com/tabs.web.media/3/5/3511/3511-square-1536.jpg,
21 lecciones para el siglo XXI,,,,,Yuval Noah Harari,"Harari, Yuval Noah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9789585446427,,0,0.000000,,Unread,,,,,,,,,,0,,,,,2020/12/31 18:54:54.722605943,,,,,,,,,,0,,0,,https://www.sanborns.com.mx/imagenes-sanborns-ii/1200/9786073170680.jpg,
24 Horas En El Antiguo Egipto,,,,,Donald P. Ryan,"Ryan, Donald P.",,,,,,EDAF ANTILLAS,,2020/03/30,2020,,,,History,"During the course of a day in the ancient city of Thebes, we meet 24 Egyptians from all strata of society. We encounter a different one of these characters every hour and in every chapter, and through their eyes see what an average day in ancient Egypt was really like.",,,,,,,,,,,256,,,,,,español,,,,,,9788441439719,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/07/31 22:16:25.617001056,,,"PlayStore,Electrónico",,,,,wo8qygEACAAJ,,0,0,0,,,
30 hechos que cambiaron la historia de Colombia,,,,,Rafael Pardo Rueda,"Rueda, Rafael Pardo",,,,,,Planeta Colombia,,2022/03/21,2022,,,,History,"Además de dirigente político y funcionario de alto nivel en varios gobiernos, Rafael Pardo Rueda es un reconocido historiador. De ahí la pertinencia de este título, que pretende rememorar una treintena de episodios que marcaron la historia de Colombia. Es un recorrido que empieza en 1871 y termina en 2016. El libro publica de manera íntegra y sin cambio alguno, el texto de los documentos que respaldan la investigación del autor.",,,,,,,,,,,352,,,,,,español,,,,,,9786280000961,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2022/07/03 11:35:58.523169040,,,,,Círculo de Lectores,55000 $,,SJBlEAAAQBAJ,,0,0,0,,,
90 GRADOS DE LATITUD SUR,,,,,Ángela Posada Swafford,"Swafford, Ángela Posada",,,,,,Grupo Planeta Spain,,2014/08/27,2014,,,,Juvenile Fiction,"En la Antártida, un lugar de condiciones extremas, donde la temperatura puede llegar a 89 °C, un grupo de científicos estudia el clima y las estrellas en la estación de investigaciones Amundsen-Scott. Hasta allí llega la tía Abi acompañada de Simón, Lucas, Isabel y Juana. Cautivados por el paisaje sobrecogedor del Polo Sur y por el fascinante mundo de los pingüinos emperador, ellos no alcanzan a imaginarse los peligros que los aguardan en aquel lugar: túneles bajo el hielo, témpanos que se desprenden, tormentas de nieve que lo sepultan todo y temperaturas extremas que ponen en riesgo la vida a cada momento. Como si fuera poco, un hacker sabotea los sistemas de seguridad de la estación de investigaciones y pone en peligro la vida de todos los que viven allí. Será una de sus aventuras más osadas. Arriesgarán sus vidas, como lo han hecho los grandes exploradores polares, para poder sobrevivir en el lugar más inhóspito del planeta.",,,,,,,,,,,240,,,,,,español,,,,,,9789584241283,,0,0.000000,,Unread,,,,,,,,,,0,,,,,2020/12/31 20:02:00.506221055,,,,,,,,21DDCAAAQBAJ,,0,,0,,,
100 Analogias Cientificas,,,,,Joel Levy,"Levy, Joel",,,,,,Grupal Logistica Y Distribucion,,2012/06/15,2012,,,,Science,,,,,,,,,,,,224,,,,,,español,,,,,,9789089982056,,0,0.000000,,Unread,,,,,,,,,,0,,,,,2020/12/31 18:21:11.551298141,,,,,,,,_DCRtgAACAAJ,,0,,0,,http://images.amazon.com/images/P/9089982051.01Z.jpg,
100 problemas de astrofísica,,,,,"Eduardo Battaner López, Estrella Florido Navio","López, Eduardo Battaner",,,,,,Alianza,,,2001,,,,Science,,,,,,,,,,,,138,,,,,,español,,,,,,9788420686769,,0,0.000000,,Unread,,,,,,,,,,0,,,,,2021/01/01 09:05:08.569504976,,,,,,,,KeO9PAAACAAJ,,0,,0,,,
300 días en Afganistán,,,,,Natalia Aguirre Zimerman,"Zimerman, Natalia Aguirre",,,,,,Editorial Anagrama,,,2006,,,,,,,,,,,,,,,,184,,,,,,español,,,,,,9789587093810,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2024/06/23 09:59:57.630661249,,,,,Feria del Libro El Tesoro,30000 $,,ou0uAQAAIAAJ,,0,0,0,,,
365 días que cambiaron el mundo,,,,,History Channel,"Channel, History",,,,,,Martínez Roca,,,2015,,,,,,,,,,,,,,,,787,,,,,,español,,,,,,9788427041820,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2022/07/08 23:32:50.635666131,,,,,Libreria Resplandor,49000 $,,Cl04rgEACAAJ,,0,0,0,,http://images.amazon.com/images/P/8427041829.01Z.jpg,
1421,,El año en que China descubrió el nuevo mundo,,,Gavin Menzies,"Menzies, Gavin",,,,,,DEBOLSILLO,,2004/11/12,2004,,,,History,"El 8 de marzo de 1421 salió de China la flota más grande que habían visto los tiempos: 107 juncos, algunos de casi 150 metros de eslora, iban a devolver a sus países de origen a los dignatarios que habían ido a rendir homenaje al emperador Zhu Di; posteriormente,debían recaudar tributos de los bárbaros a lo largo y ancho de los mares. Los distintos almirantes de la flota visitaron las costas americanas setenta años antes que Colón, descubrieron Australia trescientos cincuenta años antes que Cook y circunnavegaron el globo cien años antes que Magallanes. Sin embargo, a su regreso en 1423, la flota se encontró con que el emperador había sido derrocado y se regresaba al aislacionismo tradicional. Los resultados del épico viaje fueron condenados al olvido. A lo largo de quince años, Gavin Menzies ha realizado un trabajo de investigación que le ha permitido reconstruir las navegaciones chinas del primer cuarto de siglo XV. El resultado es este libro, un trabajo tan audaz como riguroso, tan monumental como apasionante, que ha merecido el respeto de la comunidad científica y nos obliga a cambiar nuestra visión de la época de los grandes descubrimientos europeos.",,,,,,,,,,,608,,,,,,Spanish,,,,,,9788497935081,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/06/10 20:27:20.918256044,,,,,Feria del Libro El Tesoro,30000 $,,6ArsQgAACAAJ,,0,0,0,,,
