Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,ISSN,Favorites,Rating,Physical Location,Status,Status Incompleted Reason,Status Hidden,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Not Owned Reason,Quantity,Condition,Recommended By,Date Added,User Supplied ID,User Supplied Descriptor,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Previously Owned,Up Next,Position,Uploaded Image URL,Activities
El Islam,,,,,Azra Kidwai,"Kidwai, Azra",,,,,,Dastin,,,1999,,,,Islamismo-,,,,,,,,,,,,96,,,,,,español,,,,,,,,0,0.000000,,Unread,,,,,,,,,,0,,,,,2021/01/01 08:22:47.992575168,,,,,,,,h-3HzQEACAAJ,,0,,0,,https://i.ebayimg.com/images/g/DOkAAOSwKHtc3esC/s-l640.jpg,
El jardín de Newton,,La ciencia a través de su historia,,,José Manuel Sánchez Ron,"Ron, José Manuel Sánchez",,,,,,Grupo Planeta Spain,,2011/10/05,2011,,,,Science,"¿Qué sería de nuestras vidas si no poseyésemos ningún conocimiento científico, si no dispusiéramos de instrumento alguno construido con la ayuda de la ciencia? ¿Cómo habríamos sobrevivido sin conocer el origen y el comportamiento de las enfermedades que nos afectan? ¿Qué clase de mundo sería el que ignorara la dinámica de los movimientos físicos o las leyes de las combinaciones químicas? Es evidente que sin el conjunto de conocimientos y procedimientos que agrupamos bajo el nombre común de «ciencia», otra, muy distinta, habría sido la historia de la humanidad. En este libro, el gran historiador de la ciencia José Manuel Sánchez Ron nos acerca a una de las mayores conquistas del género humano: el conocimiento científico. Para ello, el autor no nos habla únicamente de su historia, sino que, manejando con destreza la narración histórica, nos explica los aspectos básicos de las matemáticas, de la física, de la química o de las ciencias naturales y biomédicas, pasa revista a las grandes conquistas científicas que han desafiado el paso del tiempo y recorre las vidas y obras de los grandes protagonistas de la ciencia (Euclides, Gödel, Vesalio, Galileo, Newton, Lavoisier, Helmholtz, Bernard, Pasteur, Faraday, Maxwell, Einstein, Watson o Crick, entre muchos otros). Al concluir la lectura de este libro, quienes se hayan acercado a él sabrán algo no sólo de la historia de la ciencia, sino también de la propia ciencia, de lo que es y de lo que representa: ¿o será preciso recordar que no hay historia de la ciencia sin ciencia, y que ésta forma hoy -desde hace mucho, de hecho- parte esencial de la vida, de las sociedades en que vivimos?",,,,,,,,,,,276,,,,,,español,,,,,,9788498922943,,0,0.000000,,Unread,,,,,,,,,,0,,,,,2020/12/31 17:30:55.580386161,,,,,,,,WzY1lSjEmKkC,,0,,0,,,
El jinete del silencio,,,,,Gonzalo Giner,"Giner, Gonzalo",,,,,,Grupo Planeta Spain,,2011/06/09,2011,,,,Fiction,"Hubo una época en la que los hombres levantaron catedrales, pintaron frescos e imitaron al ser humano en sus mármoles...  Entonces, apareció alguien que se atrevió a construir una raza de caballos para la posteridad.   En 1522, fruto del amor prohibido entre una criada y un rico y corrupto hacendado, vecino de Jerez de la Frontera, Yago volverá a la vida gracias al aliento de un viejo caballo. Privado del amor de su madre, su vida no va a ser nada fácil. Incapaz de comunicarse con los humanos, su aislamiento interior le hará víctima de todos los que le rodean y vivirá la incomprensión a lo largo de su existencia. Conocerá la soledad, el dolor y el encierro desde su más pronta niñez, pero también la esclavitud y las más pavorosas experiencias en el interior de una casa de locos. Pero Yago posee un don único, puede captar la hermosura de las cosas a través del tacto y expresar su riqueza interior a lomo de los caballos. Solo cuando sobre ellos sienta el poder del viento, o descubra en las cuadras de la cartuja de la Defensión a sus monjes sentando los pilares de una raza que perdurará para la eternidad, entre rezos y silencios, Yago sentirá la paz necesaria para empezar a liberar todo su caudal creativo. Sin embargo, un robo truncará su sosiego y, siguiendo el destino infeliz de los caballos, se verá embarcado en una galera que le llevará al desconocido Nuevo Mundo, a Jamaica.   Después del éxito de El sanador de caballos, Gonzalo Giner nos ofrece de nuevo un relato de gran fuerza sentimental y acción imparable. El jinete del silencio cuenta la vida de un joven con una deficiencia de comunicación en un tiempo de incomprensiones y Renacimiento, en pleno siglo xvi. Repleta de aventuras y de personajes apasionantes, entre ellos el gran artista Miguel Ángel Buonarroti, la novela nos trasladará a la Andalucía de los nobles criadores de caballos, a la Jamaica dominada por crueles conquistadores convertidos en terratenientes y al Nápoles renacentista en cuyas calles y palacios está brotando un nuevo arte, el ecuestre, y junto a él, un nuevo concepto de hombre.",,,,,,,,,,,720,,,,,,español,,,,,,9788499980126,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2022/01/21 19:58:56.772272109,,,,,,69000 $,,efbAaOeoZOYC,,0,0,0,,,
EL LABERINTO CUANTICO,,,,,PAUL HALPERN,"HALPERN, PAUL",,,,,,Critica,,2019/06/19,2019,,,,,,,,,,,,,,,,331,,,,,,,,,,,,9789584281463,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2022/09/03 14:49:00.922474861,,,,,Entrelibros,69000 $,,,,0,0,0,,https://covers.openlibrary.org/b/id/10201640-L.jpg,
El ladrón de tumbas,,,,,Antonio Cabanas,"Cabanas, Antonio",,,,,,EDICIONES B,,,2004,,,,Fiction,,,,,,,,,,,,465,,,,,,español,,,,,,9788466614351,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/09/26 09:56:23.186585903,,,,,,,,GxLf_-8EbQ8C,,0,0,0,,,
El largo vuelo del cirirí: la ardua lucha de una madre por su hijo desaparecido,,,,,Alonso Salazar Jaramillo,"Jaramillo, Alonso Salazar",,,,,,"Penguin Random House Grupo Editorial, Debate",,,2024,,,,,,,,,,,,,,,,,,,,,,español,,,,,,9786287669406,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2024/10/22 21:29:34.147616863,,,,,,59000 $,,,,0,0,0,,,
El lenguaje secreto de los gatos,,,,,Sarah Brown,"Brown, Sarah",,,,,,,,,,,,,,,,,,,,,,,,,280,,,,,,español,,,,,,9788408277125,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2024/08/19 11:46:20.946803092,,,,,Círculo de Lectores,69000 $,,r_1h0AEACAAJ,,0,0,0,,http://images.amazon.com/images/P/840827712X.01Z.jpg,
El libro del clima / The Climate Book,,,,,Greta Thunberg,"Thunberg, Greta",,,,,,Prh Grupo Editorial,,2023/03/21,2023,,,,Science,"Greta Thunberg une a científicos, expertos, activistas y escritores como Thomas Piketty, Margaret Atwood, David Wallace-Wells o Naomi Klein para ofrecernos la información más veraz y actualizada sobre la emergencia climática y las soluciones que todavía están en nuestras manos   Ha llegado la hora de que contemos esta historia y, quizá, hasta de que le cambiemos el final.    Cómo funciona el clima, cómo está cambiando nuestro planeta, cómo nos afecta, qué hemos hecho al respecto y qué debemos hacer ahora: son las preguntas a las que este libro trata de responder. Greta Thunberg, que logró dar un vuelco a la lucha contra el cambio climático con su huelga escolar de los viernes y es candidata al Nobel de la Paz, se convierte ahora en su embajadora, con el aval de la comunidad científica mundial, al crear una obra de referencia para comprender la crisis de sostenibilidad que nos aqueja.    Una «Biblia del clima» en la que han colaborado los más destacados científicos, expertos, epidemiólogos, activistas, economistas, periodistas, pensadores y narradores, desde el director general de la OMS, Tedros Adhanom, hasta Thomas Piketty, Margaret Atwood, David Wallace-Wells o Naomi Klein, dando a conocer sus investigaciones y experiencias individuales y urgiéndonos a pasar a la acción si queremos conservar la esperanza.ENGLISH DESCRIPTION    We still have time to change the world. From Greta Thunberg, the world’s leading climate activist, comes the essential handbook for making it happen.   You might think it’s an impossible task: secure a safe future for life on Earth, at a scale and speed never seen, against all the odds. There is hope – but only if we listen to the science before it’s too late.   In The Climate Book, Greta Thunberg has gathered the wisdom of over one hundred experts – geophysicists, oceanographers and meteorologists; engineers, economists and mathematicians; historians, philosophers and indigenous leaders – to equip us all with the knowledge we need to combat climate disaster. Alongside them, she shares her own stories of demonstrating and uncovering greenwashing around the world, revealing how much we have been kept in the dark. This is one of our biggest challenges, she shows, but also our greatest source of hope. Once we are given the full picture, how can we not act? And if a schoolchild’s strike could ignite a global protest, what could we do collectively if we tried?   We are alive at the most decisive time in the history of humanity. Together, we can do the seemingly impossible. But it has to be us, and it has to be now.",,,,,,,,,,,448,,,,,,español,,,,,,9788426423344,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2023/08/11 21:04:45.320965051,,,,,Círculo de Lectores,100000 $,,-miREAAAQBAJ,,0,0,0,,,
El libro negro del Islam,,"el mensaje secreto del islamismo. Descubra los misterios de su historia, su religión y sus costumbres",,,Marcel Hassin,"Hassin, Marcel",,,,,,Robin Book,,,2002,,,,,,,,,,,,,,,,234,,,,,,español,,,,,,9789582813437,,0,0.000000,,Unread,,,,,,,,,,0,,,,,2020/12/31 21:09:59.590638160,,,,,,,,z7m6PQAACAAJ,,0,,0,,https://www.popularlibros.com/imagenes_grandes/9788479/978847927581.JPG,
El llamado del jaguar,,mi vida en el Amazonas,,,Martín Von Hildebrand,"Hildebrand, Martín Von",,,,,,Penguin Random House Grupo Editorial,,,2024,,,,,,,,,,,,,,,,464,,,,,,Spanish,,,,,,9786287669284,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/02/01 23:06:07.769068956,,,,,Tanta Tinta,69000 $,,13fg0AEACAAJ,,0,0,0,,,
El maestro del Prado y las pinturas proféticas,,,,,Javier Sierra,"Sierra, Javier",,,,,,Planeta,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,9789584233844,,0,0.000000,,Unread,,,,,,,,,,0,,,,,2020/12/31 21:21:11.316811084,,,,,,,,,,0,,0,,https://covers.openlibrary.org/b/id/7951117-L.jpg,
El mal en el pensamiento moderno,,Una historia alternativa de la filosofía,,,Susan Neiman,"Neiman, Susan",,,,,,DEBATE,,2026/01/15,2026,,,,Philosophy,"¿Qué es el mal y cómo podemos evitar que se manifieste? Un recorrido poco convencional por la historia de la filosofía.  ¿Puede tener sentido un mundo en el que los inocentes sufren? ¿Podemos seguir creyendo en un poder divino o en el progreso humano si hacemos una taxonomía del mal? ¿Es el mal profundo o banal? En esta obra fundamental, Susan Neiman argumenta que estas preguntas impulsaron la filosofía moderna. Los filósofos tradicionales, de Leibniz a Hegel, intentaban defender al Creador de un mundo en el que el mal existe. Inevitablemente, ese esfuerzo, combinado con la obra de escritores como Pope, Voltaire y el Marqués de Sade, erosionaron la fe en la benevolencia, el poder y la relevancia de Dios, hasta que Nietzsche afirmó que había sido asesinado. También produjo la distinción entre el mal natural y el mal moral que ahora damos por sentada. Así, la filosofía contemporánea considera al Holocausto como el mal moral final y Neiman concluye que dos posturas básicas atraviesan el pensamiento moderno. Una, de Rousseau a Arendt, insiste en que la moralidad exige que hagamos inteligible el mal. La otra, de Voltaire a Adorno, insiste en que la moralidad exige que no lo hagamos. Bellamente escrito y profundamente cautivador, este libro narra la historia del pensamiento moderno como un intento de enfrentarse al mal y acerca la filosofía a todo aquel interesado en las preguntas sobre la vida y la muerte, el sufrimiento y el sentido.  La crítica ha dicho:  «Provocador y profundo».  The Wall Street Journal  «Neiman argumenta que preguntarnos por qué el mundo es como es, en lugar de como debería ser, equivale a pensar acerca del mal».  New York Times Book Review  «Claro, elegante y atractivo de repente, [la filosofía] vuelve a ser una cuestión de vida o muerte».  Die Welt",,,,,,,,,,,480,,,,,,Spanish,,,,,,9788410214880,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2026/02/02 21:11:13.202245950,,,,,Librería Cooprudea,71000 $,,3OqUEQAAQBAJ,,0,0,0,,,
El mapa de un mundo nuevo,,,,,Luis Zueco,"Zueco, Luis",,,,,,EDICIONES B,,2024/08/27,2024,,,,Fiction,"PRIMERO CONQUISTÓ LA CORONA. DESPUÉS CONQUISTÓ EL MUNDO.    Tras el éxito de El tablero de la reina, Luis Zueco nos sumerge de nuevo en un periodo clave de la historia de España, el final del reinado de Isabel la Católica.    MÁS DE 350.000 EJEMPLARES VENDIDOS.    Año 1496. Tras conseguir la unión de Castilla y Aragón, conquistar Granada y las Islas Canarias, Isabel la Católica se encuentra en los años finales de su vida, pero también en los que ostenta más poder. Un poder y un legado que no está dispuesta a perder, ni siquiera después su muerte.  Esta novela narra los años que cambiaron para siempre el curso de la historia. Cuando cada barco que regresaba a puerto podía transformar el mundo, un mapa se convertía en el bien más preciado de una corona y las hazañas de un viajero eran capaces de incendiar un imperio.   LEER A LUIS ZUECO ES VIAJAR EN EL TIEMPO.",,,,,,,,,,,672,,,,,,Spanish,,,,,,9788466679121,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/08/09 08:46:35.986974954,,,,,Círculo de Lectores,79000 $,,6VUOEQAAQBAJ,,0,0,0,,,
El marciano,,,,,Andy Weir,"Weir, Andy",,,,,,Penguin Random House Grupo Editorial España,,2014/11/05,2014,,,,Fiction,"Novela brillante, delirio ingenioso, con una mecánica del suspense que sorprenderá al lector una y otra vez. Una experiencia literaria excepcional en gravedad cero.  «La mejor novela de ciencia ficción en años.»Wall Street Journal  Seis días atrás el astronauta Mark Watney se convirtió en uno de los primeros hombres en caminar por la superficie de Marte. Ahora está seguro de que será el primer hombre en morir allí. La tripulación de la nave en que viajaba se ve obligada a evacuar el planeta a causa de una tormenta de polvo, dejando atrás a Mark tras darlo por muerto. Pero él está vivo, y atrapado a millones de kilómetros de cualquier ser humano, sin posibilidad de enviar señales a la Tierra. De todos modos, si lograra establecer conexión, moriría mucho antes de que el rescate llegara. Sin embargo, Mark no se da por vencido; armado consu ingenio, sus habilidades y sus conocimientos sobre botánica, se enfrentará a obstáculos aparentemente insuperables. Por suerte, el sentido del humor resultará ser su mayor fuente de fuerza. Obstinado en seguir con vida, incubará un plan absolutamente demencial para ponerse en contacto con la NASA. Reseñas:«Una de las mejores novelas que he leído en mucho tiempo. Parece tan real que casi podría ser no-ficción y, sin embargo, tiene la unidad narrativa y la potencia de un cohete. Un Apollo 13 multiplicado por cien.»Douglas Preston, #1 de The New York Times «¡No lo podía dejar! Tiene la rara combinación de ser una buena y original historia y con unos personajes interesantes con una fascinante precisión técnica. Una suma de MacGyver y La isla misteriosa de Verne.»Chris Hadfield, astronauta, comandante de la Estación Espacial Internacional y autor de la Guía de un astronauta para vivir en la Tierra «El mejor libro que he leído en mucho tiempo. Inteligente, divertido e intenso.»Hugh Howey, autor de Espejismo «Weir ha creado un thriller de supervivencia que no da tregua, entretenido y creativo, un MacGyver atrapado en Marte que se lee, se siente y se vive de manera tan real y terrible como la verdadera historia de la Apollo 13.»Ernest Cline, autor de Ready Player One «El marciano se perfila como el nuevo Robinson Crusoe de Defoe, pero escrito por alguien aún más brillante.»Larry Niven, ganador de varios premios Hugo y Nebula «Fuerte y valiente. Un Robinson Crusoe en Marte en el siglo XXI.»Steve Berry",,,,,,,,,,,408,Audiolibro,,,,,español,,,,,,9788490198902,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/01/04 09:00:01.246464014,,,"Electrónico,Audiolibro audible",,,,,HyIXBQAAQBAJ,,0,0,0,,,
El mármara en llamas,,,,,Blas Malo,"Malo, Blas",,,,,,EDICIONES B,,,2012,,,,,,,,,,,,,,,,522,,,,,,,,,,,,9788466650267,,0,0.000000,,Unread,,,,,,,,,,0,,,,,2020/12/31 21:21:11.302308082,,,,,,,,,,0,,0,,http://images.amazon.com/images/P/8466650261.01Z.jpg,
El médico,,,,,Noah Gordon,"Gordon, Noah",,,,,,Penguin Random House Grupo Editorial S.A.S.,,,2008,,,,,,,,,,,,,,,,796,,,,,,español,,,,,,9789588763057,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2023/05/20 23:45:13.855064868,,,,,Cotidiano Retiro,70000 $,,-GCYDAEACAAJ,,0,0,0,,,
El milagro Spinoza,,Una filosofía para iluminar nuestra vida,,,Frédéric Lenoir,"Lenoir, Frédéric",,,,,,Grupo Planeta,,2019/02/12,2019,,,,Philosophy,"Una cálida invitación a buscar la felicidad en lo más profundo de uno mismo.Durante su breve existencia, Spinoza construyó una obra verdadera- mente revolucionaria. ¿Cómo pudo ser, a mediados del siglo xviii, el pre- cursor de la Ilustración y las democracias modernas; el fundador de la psicología de las profundidades; el pionero de una lectura histórica y crítica de la Biblia; el iniciador de la filología, la sociología y la etología; el inventor —y aquí radica su mayor ruptura— de una filosofía basada en el deseo y la alegría, que trastornó la concepción de Dios, la moralidad y la felicidad? En este libro excepcional, su pensamiento se nos revela como un enérgico recorrido que va de la servidumbre a la libertad, de la triste- za al regocijo.En muchos sentidos, Spinoza fue no solo una figura adelantada a su tiempo, sino también al nuestro. Esto es lo que llamamos «el milagro Spinoza»",,,,,,,,,,,338,,,,,,español,,,,,,9788434429840,,0,0.000000,,Unread,,,,,,,,,,0,,,,,2020/12/31 19:54:09.055430889,,,,,,,,vwKEDwAAQBAJ,,0,,0,,,
El mito de la Inteligencia Artificial,,,,,Erik J. Larson,"Larson, Erik J.",,,,,,Shackleton Books,,,2022,,,,Science,"Los mesías del futuro insisten en afirmar que la Inteligencia Artificial pronto eclipsará las capacidades de las mentes humanas con más talento. Según ellos, no queda ninguna esperanza, pues el avance de las máquinas superinteligentes es imparable. Pero la realidad es que ni estamos en el camino hacia el desarrollo de máquinas inteligentes ni sabemos siquiera dónde podría hallarse ese camino.Erik Larson es un científico e investigador pionero en el procesamiento del lenguaje natural, además de empresario tecnológico que trabaja a la vanguardia de la IA. En este libro nos acompaña en un recorrido por el panorama actual de este ámbito para demostrar lo lejos que estamos realmente de la superinteligencia y qué sería necesario para llegar a ella.Desde Alan Turing, los entusiastas de la inteligencia artificial han caído en el profundo error de equipararla con la inteligencia humana. Pero la IA trabaja con el razonamiento inductivo, procesando conjuntos de datos para predecir resultados, mientras que los humanos no correlacionamos conjuntos de datos: hacemos conjeturas a partir de la información del contexto y de la experiencia. No tenemos ni idea de cómo programar este tipo de razonamiento basado en la intuición, conocido como razonamiento abductivo.El verdadero problema es que la exageración alrededor de la IA no solo es mala ciencia, sino que también es mala para la ciencia. La cultura de la innovación florece cuando explora lo desconocido, no cuando exagera las virtudes de las tecnologías existentes. La IA inductiva seguirá mejorando en la realización de tareas específicas, pero si queremos lograr un progreso real, debemos comenzar por apreciar plenamente la única inteligencia verdadera que conocemos: la nuestra.",,,,,,,,,,,368,,,,,,español,,,,,,9788413611686,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2024/10/12 21:15:16.315904140,,,,,Tanta Tinta,120000 $,,8BR4zwEACAAJ,,0,0,0,,http://images.amazon.com/images/P/8413611687.01Z.jpg,
El motín de la naturaleza,,"Historia de la Pequeña Edad de Hielo (1570-1700), así como del surgimiento del mundo moderno, junto con algunas reflexiones sobre el clima de nuestros días",,,Philipp Blom,"Blom, Philipp",,,,,,Editorial Anagrama S.A.,,2020/02/28,2020,,,,History,"Hacia finales del siglo XVI, las temperaturas empezaron a caer, hasta tal punto que se helaron las aguas de algunos puertos mediterráneos y las aves se congelaban en pleno vuelo... Sobre el hielo del Támesis se organizaban animadas ferias.A mediados del siglo siguiente, Europa se transformó: cosechas arruinadas, hambrunas, migraciones... El propio pensamiento occidental inició un proceso de cambio culminado con el surgimiento de la Ilustración, que combatió la concepción de esos fenómenos naturales como señales o castigos divinos.El motín de la naturaleza presenta las consecuencias de una alteración repentina del clima a partir de testimonios de distinto cuño: los hay de personajes más o menos anónimos que documentaron los estragos que causaron aquellos largos y duros inviernos y aquellos veranos sin sol; pero también aparecen grandes pensadores y científicos, como Pierre Bayle, Voltaire, Montaigne o Kepler, que vieron sus obras e investigaciones transformadas por la Pequeña Edad de Hielo. Con todos ellos, Philipp Blom dibuja un fresco que acaba revelándose como una reflexión sobre los desafíos de la catástrofe que se avecina. Y es que, enfrentada hoy a nuevas, profundas y ominosas perturbaciones del clima, comparables en sus efectos a las padecidas en aquellos dos crudos y gélidos siglos, la sociedad actual debe centrarse otra vez en encontrar soluciones imaginativas y duraderas. Conocer la Pequeña Edad de Hielo de la mano de este ensayo excepcional nos permite intuir, cuatrocientos cincuenta años más tarde, que sin recurrir a la razón, la ciencia y la tecnología el panorama futuro puede acabar siendo un desastre irreversible.",,,,,,,,,,,270,,,,,,español,,,,,,9788433964458,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/09/28 18:15:11.466276168,,,,,,,,BS8-zAEACAAJ,,0,0,0,,,
El mundo,,Una historia de familias,,,Simon Sebag Montefiore,"Sebag Montefiore, Simon",,,,,,Editorial Crítica,,,2023,,,,History,"Hace unos 950.000 años, una familia de cinco personas caminó por una playa y dejó las huellas familiares más antiguas jamás descubiertas. Para Simon Sebag Montefiore estos fósiles sirven como inspiración para una nueva historia mundial, una que es genuinamente global a la vez que íntima, que abarca siglos, continentes y culturas y se centra en los lazos familiares que nos conectan a cada uno de nosotros. Traza una crónica de las grandes dinastías que han dado forma a nuestro mundo a lo largo de la historia de la humanidad a través de intrigas palaciegas, asuntos amorosos y vidas familiares, vinculando los grandes temas --la guerra, la migración, la peste, la religión o la tecnología-- con las personas que están en el corazón de la historia.Un rico elenco de complejos personajes forman el corazón palpitante de la historia. Veremos desfilar los Médici y a los Incas, los otomanos y los mogoles, los Bonapartes, los Habsburgo y los Zulúes, los Rothschild, los Rockefeller y los Krupp, los Churchill, los Kennedy, los Castro, los Nehrus, los Pahlavis y los Kenyattas, los Saudíes, los Kim y los Assad. Algunos son líderes conocidos --desde Alejandro Magno, Atila, Iván el Terrible y Gengis Kan hasta Hitler, Thatcher, Obama o Putin--, otros fueron genios creativos, desde Sócrates, Miguel Ángel y Shakespeare hasta Newton, Mozart, Balzac, Freud, Bowie y Tim Berners-Lee. Pero a esta nómina se suman personajes menos conocidos, como Hongwu, que empezó como mendigo y fundó la dinastía Ming; Kamehameha, conquistador de Hawai; Zenobia, emperatriz árabe que desafió a Roma; o Sayyida al-Hurra, reina pirata marroquí. Aquí no solo hay conquistadores y reinas, sino también profetas, charlatanes, actores, gángsters, artistas, científicos, médicos, magnates, amantes, esposas, maridos e hijos.Las poderosas dinastías que desfilan por este libro representan la escala de la ambición humana, fusionando sangrientas guerras de sucesión, complots traicioneros y a veces asombrosa megalomanía con una floreciente cultura o romances apasionados. Tan fascinante como la ficción, El Mundo captura toda la historia de la humanidad con toda su alegría, dolor, romance, ingenio y crueldad en una innovadora y magistral narración que cambiará para siempre los límites de lo que la historia puede lograr.",,,,,,,,,,,1456,,,,,,español,,,,,,9788491994985,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2023/06/09 21:12:57.198385953,,,,,Círculo de Lectores,125000 $,,Ei2XzwEACAAJ,,0,0,0,,https://covers.openlibrary.org/b/id/13775690-L.jpg,
El mundo clásico,,La epopeya de Grecia y Roma,,,Robin Lane Fox,"Fox, Robin Lane",,,,,,Grupo Planeta (GBS),,2007/05/22,2007,,,,History,"Comprender el trasfondo que subyace en el devenir de una época; extrapolar al lector del siglo XXI mecanismos mentales del humano de hace dos mil años; situar ante los griegos y romanos la imagen de nuestra modernidad: El Mundo Clásico, de Robin Lane Fox, trae en sus páginas el balance de dos pueblos que son el cimiento y parte de la estructura de la sociedad occidental actual. ""Es todo un reto que le pidan a uno escribir una historia de casi novecientos años, especialmente cuando los testimonios son tan fragmentarios y diversos, pero es un reto con el que he disfrutado mucho. No he dado por supuesta en el lector ninguna familiaridad con el tema, pero espero que tanto los que la tienen como los que no la tienen se sientan atraídos y entretenidos por lo que me ha dado tiempo a estudiar en estas páginas."" Son las palabras con las que el historiador Robin Lane Fox da la bienvenida al gran intento de síntesis y aclaración de aquello que hoy conocemos de los dos pueblos cimiento de Europa: El Mundo Clásico. La epopeya de Grecia y Roma, editado en España por Crítica, 825 páginas, mapas, 62 ilustraciones, seis grandes capítulos -El mundo griego arcaico, El mundo griego clásico, Los mundos helenísticos, La república romana, De la república romana, De la república al Imperio y Un mundo imperial-, rotundo bestseller en el mundo anglosajón, referencia de rigor y erudición desde hace meses en nuestra sociedad. -- Julia Fernández.",,,,,,,,,,,840,,,,,,español,,,,,,9788484328988,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/12/16 19:46:02.297266006,,,,,La Villa de Aburra,80000 $,,G3OIUYO4DrAC,,0,0,0,,,
El mundo de la antiguedad tardia / The World of Late Antiquity,,De Marco Aurelio a Mahoma / From Marcus Aurelius to Muhammad,,,Peter Brown,"Brown, Peter",,,,,,Gredos,,2012/02/23,2012,,,,History,"Este extraordinario estudio sobre los cambios culturales y sociales en la Antigüedad Tardía (aproximadamente desde el año 150 hasta el 750 d. C.) explica cómo y por qué aquel periodo supone un distanciamiento de la «civilización clásica». El autor demuestra que esta fue la época en que se produjo la irremisible desaparición de la mayoría de las instituciones antiguas más arraigadas: en el año 476, el Imperio Romano había desaparecido por completo en la Europa occidental, y en el año 655 el Imperio Persa había desaparecido por completo de Oriente Medio. Brown examina estos cambios, y las reacciones de los hombres que los vivieron, y muestra que aquel periodo fue también una época de señalados comienzos. El resultado es una respuesta lúcida a una pregunta crucial en la historia mundial: ¿Cómo es posible que un mundo tan excepcionalmente homogéneo como la civilización mediterránea del año 200 d. C. se dividiera en tres sociedades: la Europa occidental católica, el Imperio bizantino y el islam, que vivieron mutuamente enfrentadas durante la Edad Media?",,,,,,,,,,,222,,,,,,español,,,,,,9788424923419,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2022/07/15 19:17:54.926281929,,,,,Círculo de Lectores,55000 $,,6v-KtgAACAAJ,,0,0,0,,,
El mundo de Sofía,,Novela sobre la historia de la filosofía,,,Jostein Gaarder,"Gaarder, Jostein",,,,,,Siruela,,2025/03/13,2025,,,,Philosophy,"EL LIBRO QUE HA ENSEÑADO A PENSAR A TODA UNA GENERACIÓN Esta extraordinaria obra de divulgación que se ha convertido ya en una obra de culto aporta una coherente visión de conjunto sobre aquellos aspectos imprescindibles para comprender la historia de la filosofía occidental. El mundo de Sofía tiene el mérito de haber conjugado, acertadamente, rigor y amenidad en una narración donde una joven irá conociendo su propia identidad mientras descubre la capacidad humana de hacer preguntas.",,,,,,,,,,,584,,,,,,Spanish,,,,,,9788498414516,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/04/02 14:56:54.492944955,,,,,Buscalibre,60000 $,,DxO5cQAACAAJ,,0,0,0,,,
